"year","mean_summer_thermo","mean_spring_temp","strat_start","strat_end","strat_duration","anoxia_start","anoxia_end","anoxia_duration","stop_date","depletion_rate"
2016,12.077238995681,13.9934445371143,2016-05-24 15:20:00,2016-10-07 07:00:00,135.652777777778,2016-07-24 22:20:00,2016-10-14 16:30:00,81.7569444444444,2016-07-24 22:20:00,-0.118863611116
2017,12.2701597385467,14.5496953999171,2017-05-12 14:00:00,2017-10-12 00:40:00,152.444444444444,2017-07-19 23:00:00,2017-10-25 20:40:00,97.9027777777778,2017-07-19 23:00:00,-0.131053844919984
2019,11.4890044034607,12.747924878275,2019-05-30 20:20:00,2019-10-08 14:30:00,130.756944444444,2019-08-05 12:00:00,2019-10-11 15:40:00,67.1527777777778,2019-08-05 12:00:00,-0.134103717875386
2020,15.9776777937349,12.86061897702,2020-05-26 11:10:00,2020-09-29 22:40:00,126.479166666667,2020-07-30 22:10:00,2020-09-30 03:40:00,61.2291666666667,2020-07-30 22:10:00,-0.132569905404016
2021,10.9729652306029,14.2554446978335,2021-05-21 13:30:00,2021-10-20 15:00:00,152.0625,2021-08-07 04:50:00,2021-10-27 11:00:00,81.2569444444444,2021-08-07 04:50:00,-0.109526964400267
